index,aweme_id,desc,author_nickname,author_sec_uid,create_time,digg_count,comment_count,share_count,play_count,url
1,BV1Eq7AziEyd,-,CallME路杰,3546883540650812,2025-05-31T09:00:00.000Z,1163,548,222,268034,https://www.bilibili.com/video/BV1Eq7AziEyd
2,BV11rT164Ep8,"本期资料💾：
https://tmxk.pp.ua/d/124-quan-neng-shen-qi-yi-ge-wang-ye-gao-ding-iptvsuo-you-tong-dian-jia-mi-yuan-jie-mi-zhi-neng-xi-yuan-yong-jiu-ding-yue-re-geng-xin",大亨2017,205839731,2026-07-05T13:39:44.000Z,312,44,20,11263,https://www.bilibili.com/video/BV11rT164Ep8
3,BV1Ka411W7Hf,"之前干掉光猫那期，一不小心把IPTV也干掉了，然后试了下openWRT组播转单播，经过简单的设置，就能在手机电脑上直接看电视，光猫桥接和Ponstick都能玩！

网盘1：upming.site
网盘2：day3.upming.site (密码day3)",科技宅小明,5626102,2022-06-25T13:29:38.000Z,34033,1758,2904,1819965,https://www.bilibili.com/video/BV1Ka411W7Hf
4,BV1JFzCBSEgh,"博客地址：
https://blog.910501.xyz/archives/iptv4
DockerHub地址：
https://hub.docker.com/r/yiwanaishare/iptv-aggregator

▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬

还在手动找 m3u 直播源？还在为源失效而烦恼？本文教你在飞牛 NAS (FnOS) 上部署 IPTV Spider + Aggregator 自动化伴侣，打造一个“会自己更新”的直播源中心。

▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬

🤝 合作联系
微信：yiwanaifenxiang（请备注来意，谢谢）

▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
⏱️ 视频章节

00:00 视频目录
00:12 IPTV 聚合方案与核心思路
00:35 Spider + 聚合器架构介绍
01:50 关键参数配置讲解
04:00 Docker / 飞牛 NAS 部署
06:18 多端演示
08:10 感谢观看

▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬

如果你觉得这个方案有用👇
👍 欢迎点赞
💬 欢迎留言交流
🔔 订阅频道，不错过新玩法！

▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬

#IPTV #看电视 #直播",一万AI分享,59438380,2026-01-24T11:47:00.000Z,3023,844,531,111762,https://www.bilibili.com/video/BV1JFzCBSEgh
5,BV17QNM6MEdc,-,谢殿瑞,3546683665288110,2026-07-12T03:05:51.000Z,14,0,0,210,https://www.bilibili.com/video/BV17QNM6MEdc
6,BV1yNKD6YETK,"录制时间：2026_06_29_13_51_55
本视频仅限电视节目、机顶盒收看交流，严禁用于其他用途",永爱音乐台,477356590,2026-06-29T06:26:31.000Z,12,2,0,1927,https://www.bilibili.com/video/BV1yNKD6YETK
7,BV1Ymf8YbESz,丢掉机顶盒，自建IPTV直播源！,美男少战士,48238484,2025-01-22T05:43:26.000Z,1500,390,246,138390,https://www.bilibili.com/video/BV1Ymf8YbESz
8,BV19Mj46zE4K,"全球最大公开IPTV频道播放列表项目 iptv-org/iptv 完全指南！

这个GitHub上124K+星标的开源项目，收集了全世界公开的IPTV直播频道链接，让你在任何设备上都能观看全球电视内容。

🔥 本期视频涵盖：
• 什么是IPTV？互联网电视的基本原理
• 播放列表结构（30+类别 / 100+语言 / 全球覆盖）
• 如何使用（VLC / Kodi / 手机播放器）
• iptv-org 生态系统（EPG / Database / API）
• API 接入与开发指南

📌 项目信息：
• GitHub: https://github.com/iptv-org/iptv",兔子老大小白,393626569,2026-06-23T01:00:00.000Z,54,6,6,3319,https://www.bilibili.com/video/BV19Mj46zE4K
9,BV1A5Gt6DEom,"💾 本期视频附件/资料：
https://tmxk.pp.ua/d/111-dockeryi-jian-bu-shu-quan-xin-iptv-zhi-bo-guan-li-xi-tong-shou-kan-dian-shi-he-guan-li-yi-yang-jian-dan",大亨2017,205839731,2026-05-22T09:52:17.000Z,363,100,70,24126,https://www.bilibili.com/video/BV1A5Gt6DEom
10,BV1oCJw6JEsx,如何免费看电视直播,520小云同学,3546877693790781,2026-06-14T08:51:34.000Z,14,14,3,3364,https://www.bilibili.com/video/BV1oCJw6JEsx
